,player_name,year,team,player_position,player_height,player_weight,process_status
367,Andrey Semenov,2009,James Madison,Forward,201,90,Success
368,Scott Renkin,2009,James Madison,Guard,190,86,Success
369,Julius Wells,2009,James Madison,Forward,196,92,Success
370,Johnny Stephene,2009,Liberty,Guard,185,90,Success
371,Da'Quan Cook,2009,St. Bonaventure,Forward,185,77,Success
372,Marc Van Burck,2009,Cornell,Center,211,115,Success
373,Marco Ramos,2009,Weber St.,Forward,201,95,Success
374,Damian Lillard,2009,Weber St.,Guard,188,83,Success
375,Jesse Sanders,2009,Liberty,Guard,190,90,Success
376,Carter McMasters,2009,Liberty,Center,211,95,Success
377,Tre'Von Willis,2009,UNLV,Guard,193,88,Success
378,Pierre Henderson-Niles,2009,Memphis,Forward,203,136,Success
379,Scott Grote,2009,Wright St.,Forward,198,95,Success
380,Robert Mitchell,2009,Seton Hall,Forward,198,81,Success
381,Joe Dukes,2009,Georgia St.,Guard,185,79,Success
382,Eric Coblentz,2009,Akron,Guard,188,86,Success
383,Steve Swiech,2009,Akron,Center,206,113,Success
384,Ronnie Steward,2009,Akron,Guard,178,79,Success
385,Mark St. Fort,2009,Savannah St.,Forward,198,95,Success
386,James Williams,2009,Norfolk St.,Guard,193,86,Success
387,Aleek Pauline,2009,Norfolk St.,Guard,185,90,Success
388,Igor Mocevic,2009,IPFW,Forward,206,108,Success
389,Jake Drum,2009,Auburn,Forward,196,114,Success
390,Drew Rodriguez,2009,Toledo,Guard,185,86,Success
391,Jay Shunnar,2009,Toledo,Guard,185,79,Success
392,James Fields,2009,Georgia St.,Guard,193,82,Success
393,Frankie Sullivan,2009,Auburn,Guard,185,93,Success
394,Reggie Middleton,2009,Winthrop,Guard,185,88,Success
395,Raymond Davis,2009,Winthrop,Forward,193,79,Success
396,Andre Jones,2009,Winthrop,Guard,188,88,Success
397,Justin Wesolowski,2009,Northern Colorado,Forward,201,86,Success
398,Scott Thompson,2009,Santa Clara,Center,213,113,Success
399,Lance Pevehouse,2009,Sam Houston St.,Guard,188,83,Success
400,Kendrell Thompson,2009,Sam Houston St.,Guard,160,92,Success
401,Girod Adams,2009,Stephen F. Austin,Guard,178,77,Success
402,Walt Harris,2009,Stephen F. Austin,Guard,196,83,Success
403,Corey Allmond,2009,Sam Houston St.,Guard,185,81,Success
404,Antuan Bootle,2009,Sam Houston St.,Center,201,120,Success
405,Preston Brown,2009,Sam Houston St.,Forward,198,102,Success
406,Drae Murray,2009,Sam Houston St.,Guard,178,68,Success
407,Zach Williams,2009,Stephen F. Austin,Forward,201,108,Success
408,Jarrod McDaniel,2009,Stephen F. Austin,Guard,173,77,Success
409,Jordan Taylor,2009,Wisconsin,Guard,185,88,Success
410,Ian Markolf,2009,Wisconsin,Center,216,117,Success
411,Eugene Phelps,2009,Long Beach St.,Forward,201,102,Success
412,Ryan Bailey,2009,Washington St.,Guard,188,93,Success
413,Ben Eaves,2009,Rhode Island,Forward,201,102,Success
414,Jon Ogolo,2009,Elon,Guard,188,95,Success
415,Daniel Deane,2009,Oregon St.,Forward,203,111,Success
416,Devin Hill,2009,DePaul,Forward,206,104,Success
417,Jeremiah Kelly,2009,DePaul,Guard,183,75,Success
418,Max Huc,2009,Princeton,Guard,188,88,Success
419,John Comfort,2009,Princeton,Forward,201,89,Success
420,Patrick Saunders,2009,Princeton,Forward,203,92,Success
421,Juan Fernandez,2009,Temple,Guard,193,88,Success
422,Wes Libuit,2009,Loyola Marymount,-1,-1,-1,Failure: Did not find player
423,Matt Bucklin,2009,Georgia,Guard,183,77,Success
424,Ted Connolly,2009,Navy,Guard,188,91,Success
425,Jeff Harris,2009,Holy Cross,Guard,178,68,Success
426,Landon Slone,2009,Kentucky,Guard,190,85,Success
427,Mark Halsell,2009,Kentucky,Guard,180,81,Success
428,Chris Bass,2009,LSU,Guard,185,86,Success
429,Blaine Booher,2009,Oklahoma St.,-1,-1,-1,Failure: Did not find player
430,Kris Joseph,2009,Syracuse,Forward,201,95,Success
431,Chris Busch,2009,Eastern Washington,Forward,198,99,Success
432,Jan van der Kooij,2009,Longwood,Forward,201,102,Success
433,David Jackson,2009,Louisiana Tech,Forward,203,90,Success
434,Chris Pontarolo-Maag,2009,Gonzaga,Guard,180,79,Success
435,Da'Veed Dildy,2009,Stanford,Guard,196,86,Success
436,Will Paul,2009,Stanford,Center,208,111,Success
437,Mac Hopson,2009,Idaho,Guard,188,88,Success
438,Joe Mackey,2009,Bucknell,Forward,198,0,Success
439,Joshua Gregory,2009,Tennessee St.,Center,196,102,Success
440,Matt McFadden,2009,William & Mary,Guard,188,83,Success
441,Brandon Dowdy,2009,UC Riverside,Guard,188,90,Success
442,Xavier Hansbro,2009,Georgia St.,Center,208,104,Success
443,Jack McGillis,2009,Montana,Forward,198,99,Success
444,Juston Hairston,2009,Western Michigan,Forward,196,97,Success
445,Beau Albrechtson,2009,Hawaii,Guard,193,92,Success
446,Drummond Jones,2009,Mississippi Valley St.,Forward,196,92,Success
447,Julius Cheeks,2009,Mississippi Valley St.,Guard,188,86,Success
448,Emmenle Preston,2009,Mississippi Valley St.,Forward,206,108,Success
449,Thomas Kennedy,2009,Detroit,Forward,201,90,Success
450,Donavan Foster,2009,Detroit,Guard,178,72,Success
451,Michael Culpo,2009,LIU Brooklyn,Guard,185,81,Success
452,Ryan Janer,2009,Detroit,Guard,183,83,Success
453,Xavier Keeling,2009,Detroit,Forward,201,106,Success
454,Arnold Mayorga,2009,LIU Brooklyn,Forward,201,102,Success
455,Jordan Sugars,2009,Navy,Guard,190,99,Success
456,Justin Maneri,2009,Lehigh,Center,203,108,Success
457,Andrew Steele,2009,Alabama,Guard,193,102,Success
458,Anthony Brock,2009,Alabama,Guard,175,74,Success
459,JaMychal Green,2009,Alabama,Forward,203,108,Success
460,Andre Clark,2009,Arkansas,Forward,206,102,Success
461,Rotnei Clarke,2009,Arkansas,Guard,183,83,Success
462,Magnum Rolle,2009,Louisiana Tech,Forward,211,102,Success
463,Ben Voogd,2009,Oregon,Guard,185,79,Success
464,Jarrod Randall,2009,Maryland Eastern Shore,-1,-1,-1,Failure: Did not find player
465,Mark Engen,2009,South Dakota St.,Center,208,98,Success
