,player_name,year,team,player_position,player_height,player_weight,process_status
4523,Jin-Soo Kim,2009,Maryland,-1,-1,-1,Failure: Did not find player
4527,Gaby Belardo,2009,South Florida,-1,-1,-1,Failure: Did not find player
4528,Pete Peregrin,2009,Seton Hall,-1,-1,-1,Failure: Did not find player
4530,Cody Worsham,2009,Nicholls St.,-1,-1,-1,Failure: Did not find player
4531,Mike Ladd,2009,Fresno St.,-1,-1,-1,Failure: Did not find player
4538,Larney Abdush-Shakur,2009,Mercer,-1,-1,-1,Failure: Did not find player
4539,Christopher Jones,2009,Prairie View A&M,-1,-1,-1,Failure: Did not find player
4540,Jonathan Machado,2009,Cal St. Bakersfield,-1,-1,-1,Failure: Did not find player
4541,Andrew Puzyk,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4542,Zhaoxu Zhang,2009,California,-1,-1,-1,Failure: Did not find player
4543,Ameer Shamssud-din,2009,Cal St. Fullerton,-1,-1,-1,Failure: Did not find player
4544,Mo Hubbard,2009,Ball St.,-1,-1,-1,Failure: Did not find player
4545,Jaime Boyer,2009,Maryland Eastern Shore,-1,-1,-1,Failure: Did not find player
4550,Louis Brown III,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
4554,Demetrus Judge,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4555,Jimmy Sanders,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4557,J.T. Knight,2009,Charleston Southern,-1,-1,-1,Failure: Did not find player
4559,Mike Lacey,2009,Idaho St.,-1,-1,-1,Failure: Did not find player
4560,William Eddie III,2009,Central Michigan,-1,-1,-1,Failure: Did not find player
4562,Maurice Hicks Jr.,2009,Iona,-1,-1,-1,Failure: Did not find player
4565,Andy Dillon,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4566,Robert Huntington,2009,High Point,-1,-1,-1,Failure: Did not find player
4567,Mark Warrington,2009,Saint Peter's,-1,-1,-1,Failure: Did not find player
4568,Joe Atang,2009,Houston Baptist,-1,-1,-1,Failure: Did not find player
4571,Reggie Britton Jr.,2009,Wichita St.,-1,-1,-1,Failure: Did not find player
4572,Julian Jones Jr.,2009,Western Illinois,-1,-1,-1,Failure: Did not find player
4574,Steven Yien Gatkuoth,2009,Presbyterian,-1,-1,-1,Failure: Did not find player
4575,Shedrick Matthews,2009,Alabama St.,-1,-1,-1,Failure: Did not find player
4576,Ryan McDaniel,2009,IUPUI,-1,-1,-1,Failure: Did not find player
4581,Rico Middlebrook,2009,North Florida,-1,-1,-1,Failure: Did not find player
